topic,share
service,0.24920820136689448
location,0.2052008668111352
cleanliness,0.19803300550091682
pet,0.13918986497749625
comfort,0.10351725287547925
breakfast,0.09418236372728789
noise,0.058509751625270875
eco,0.048174695782630436
value,0.047507917986331055
pool,0.045674279046507754
parking,0.03817302883813969
checkin,0.03533922320386731
family,0.023837306217702952
accessibility,0.020836806134355727
wifi,0.01033505584264044
listing_accuracy,0.0031671945324220703
