term,count
staff,1202
clean,996
location,684
breakfast,570
friendly,562
mask,376
close,355
property,351
helpful,329
comfortable,321
again,311
night,285
front,275
area,273
desk,267
pool,257
service,251
parking,249
like,248
here,247
check,245
everything,245
station,238
time,235
excellent,211
easy,199
back,199
could,198
well,192
bathroom,184
stayed,182
train,177
convenient,174
walking,174
shower,172
beautiful,171
which,170
definitely,169
next,166
restaurants,164
