topic,coverage_share,avg_score_when_present
overall,1.0,4.177196199366561
comfort,0.8121353558926487,4.145320197044335
cleanliness,0.8109684947491248,4.334429599177801
service,0.7754625770961827,4.381986242476354
eco,0.32155359226537755,4.206324520476931
location,0.0001666944490748458,4.5
value,0.0,
check-in,0.0,
listing accuracy,0.0,
