topic,mean_score
listing_accuracy,66.86337801333062
wifi,65.0194861453672
location,64.37250283139193
checkin,63.574937771148946
value,52.65350238060308
parking,51.32263363278128
noise,47.76056964407566
breakfast,46.09080004513886
service,39.65759118960325
cleanliness,21.715024402901943
