scenario,sensitivity,ai_model,annual_invites,affected_booking_base_share,weekly_payout,annual_prize_face_value,target_invites,baseline_completed_reviews,baseline_info_units,final_completion_rate,completed_reviews,additional_reviews,final_entries_per_completion,additional_info_units,expected_value_per_entry,expected_value_per_completion,guaranteed_equivalent_reward,bps_from_more_reviews,bps_from_better_reviews,total_uplift_bps,incremental_gross_bookings,incremental_revenue,incremental_ebitda,economic_cost,ranking_calls,input_tokens,output_tokens,annual_ai_cost,total_program_cost,net_incremental_ebitda_after_sweepstakes,net_incremental_ebitda,incremental_revenue_after_program_cost,revenue_to_program_cost_x,ebitda_to_program_cost_x,ai_cost_share_of_program_cost,cost_per_ranking_call,cost_per_1000_calls,payback_months_on_ebitda,layer
Moderate-rating targeted,Base,gpt-4o-mini,25000000,1.0,8000,416000,8797299.549924988,1451554.4257376231,2757953.4089014838,0.18671867578713028,1642620.122464711,191065.69672708795,2.3667917469529383,1129786.340326819,0.1070030472288105,0.2532539290799642,0.1139642680859839,0.5202078032845576,0.4110451963777704,0.931252999662328,7810139.532268046,882269.0918800895,260564.5893055194,276640.0,1971144.146957653,4336517123.306837,887014866.1309439,1182.6864881745921,277822.6864881746,-16075.410694480612,-17258.097182655212,604446.4053919149,3.1756553182622933,0.9378808930227885,0.004256983125188132,0.0006000000000000002,0.6000000000000001,12.794801652610728,Full platform base
Moderate-rating targeted,Base,gpt-4o-mini,25000000,1.0,10000,520000,8797299.549924988,1451554.4257376231,2757953.4089014838,0.19015587685966226,1672858.2099130983,221303.78417547513,2.439978910159323,1323785.3429733538,0.1273966884238125,0.31084523297824085,0.1398803548402084,0.6025359726865209,0.4816270004708071,1.0841629731573281,9092549.606978564,1027136.0007692527,303348.79988942045,345800.0,2007429.851895718,4416345674.170579,903343433.353073,1204.4579111374308,347004.45791113743,-42451.20011057955,-43655.65802171698,680131.5428581152,2.9600080844848584,0.8741928035031281,0.0034710156704841934,0.0006000000000000001,0.6,13.726948965849111,Full platform base
Moderate-rating targeted,Base,gpt-4o-mini,25000000,1.0,12500,650000,8797299.549924988,1451554.4257376231,2757953.4089014838,0.19379595614281697,1704881.0777524866,253326.65201486344,2.520191370449348,1538673.1708927173,0.1512814734835843,0.3812582639821911,0.171566218791986,0.6897235004267538,0.5598086940118673,1.249532194438621,10479451.655098382,1183806.8010111495,349619.1080039262,432250.0,2045857.2933029837,4500886045.266564,920635781.9863427,1227.51437598179,433477.5143759818,-82630.89199607383,-83858.40637205564,750329.2866351677,2.7309531907677242,0.8065449680988065,0.002831783276576351,0.0005999999999999998,0.5999999999999999,14.878277683991366,Full platform base
Moderate-rating targeted,Base,gpt-4o-mini,25000000,1.0,15000,780000,8797299.549924988,1451554.4257376231,2757953.4089014838,0.1968512317307118,1731759.2523067705,280204.8265691474,2.5908653308292346,1728801.5992428856,0.1738450168516315,0.45040902709831615,0.20268406219424226,0.7629037540290251,0.6289822840780956,1.3918860381071207,11673330.63579299,1318672.8325026862,389449.7134623724,518699.99999999994,2078111.1027681245,4571844426.089874,935149996.245656,1246.8666616608748,519946.86666166084,-129250.28653762751,-130497.15319928841,798725.9658410253,2.536168437689175,0.7490182909704785,0.0023980655363237996,0.0006000000000000001,0.6,16.02097057530063,Full platform base
Moderate-rating targeted,Base,gpt-4o-mini,25000000,1.0,20000,1040000,8797299.549924988,1451554.4257376231,2757953.4089014838,0.20163236607884125,1773820.3233557006,322265.89761807746,2.711381555266595,2051550.2982021905,0.21623852757695392,0.5863051552101598,0.2638373198445719,0.8774219420081735,0.7464065240507802,1.6238284660589537,13618562.196296627,1538415.0887442527,454347.20480329526,691600.0,2128584.3880268405,4682885653.659049,957862974.6120782,1277.1506328161042,692877.1506328161,-237252.79519670474,-238529.94582952088,845537.9381114366,2.2203287947065258,0.6557399163593899,0.0018432569635896659,0.0006,0.6,18.29993828440846,Full platform base
Moderate-rating targeted,Base,gpt-4o-mini,25000000,1.0,25000,1300000,8797299.549924988,1451554.4257376231,2757953.4089014838,0.20511482325711683,1804456.5423227774,352902.1165851543,2.811817767757623,2315849.557948187,0.2562180692655417,0.7204385195814035,0.32419733381163157,0.9608340899908223,0.8425653615645758,1.8033994515553982,15124570.18035966,1708540.6404035843,504591.1665452005,864500.0,2165347.8507873327,4763765271.732132,974406532.8542998,1299.2087104723996,865799.2087104724,-359908.8334547995,-361208.04216527194,842741.4316931119,1.9733682165733288,0.5828039128110803,0.0015005889326319094,0.0006,0.6,20.590115708248305,Full platform base
Moderate-rating targeted,Base,gpt-4o-mini,25000000,1.0,30000,1560000,8797299.549924988,1451554.4257376231,2757953.4089014838,0.20767825311996388,1827007.802701466,375453.3769638429,2.8976864975995205,2536142.431995523,0.2946678803864799,0.8538551382721734,0.384234812222478,1.0222336076638052,0.9227135492716575,1.9449471569354628,16311688.321070645,1842642.9364806572,544196.2145105425,1037399.9999999999,2192409.363241759,4823300599.13187,986584213.4587916,1315.4456179450556,1038715.4456179449,-493203.7854894574,-494519.2311074025,803927.4908627123,1.7739631621482683,0.5239127008328959,0.0012664157671810497,0.0006000000000000001,0.6,22.904579295220124,Full platform base
Moderate-rating targeted,Optimistic,gpt-4o-mini,25000000,1.0,0,0,8797299.549924988,1451554.4257376231,2757953.4089014838,0.165,1451554.4257376231,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1741865.3108851477,3832103683.9473248,783839389.8983165,1045.1191865310886,1045.1191865310886,0.0,-1045.1191865310886,-1045.1191865310886,0.0,0.0,1.0,0.0006000000000000001,0.6000000000000001,,Full platform upside
Moderate-rating targeted,Optimistic,gpt-4o-mini,25000000,1.0,500,26000,8797299.549924988,1451554.4257376231,2757953.4089014838,0.16837668046034762,1481260.0952316797,29705.66949405661,1.9599796988244427,145286.3064313694,0.008955512651155342,0.017552622988829935,0.010531573793297961,0.11323000346075848,0.07752635443723356,0.19075635789799206,1599816.34678309,180722.57347255765,53373.62893985818,12870.000000000002,1777512.1142780157,3910526651.4116344,799880451.425107,1066.5072685668094,13936.507268566811,40503.62893985818,39437.12167129137,166786.06620399083,12.967565688439713,3.829770825021567,0.07652615164003612,0.0006000000000000001,0.6,3.133346758400987,Full platform upside
Moderate-rating targeted,Optimistic,gpt-4o-mini,25000000,1.0,1000,52000,8797299.549924988,1451554.4257376231,2757953.4089014838,0.1714521682826549,1508316.082866663,56761.65712903999,2.013127032456101,278478.47100569215,0.01712536360327953,0.03447553241040184,0.020685319446241104,0.2163601340291454,0.1485991431444684,0.36495927717361376,3060803.9698719466,345762.4191942817,102115.60575317714,25740.000000000004,1809979.2994399958,3981954458.7679906,814490684.7479981,1085.9875796639974,26825.987579664,76375.60575317714,75289.61817351314,318936.4316146177,12.889084443489196,3.806592597939917,0.0404826691445743,0.0006,0.5999999999999999,3.1524256119486647,Full platform upside
