model,input_cost_per_1m_tokens,cached_input_cost_per_1m_tokens,output_cost_per_1m_tokens,estimated_cost_per_ranking_call,estimated_cost_per_1000_calls
gpt-4o-mini,0.15,0.075,0.6,0.0006,0.6
gpt-5.4-mini,0.75,0.075,4.5,0.003675,3.675
