layer,sensitivity,weekly_payout,annual_prize_face_value,economic_cost,annual_ai_cost,total_program_cost,ranking_calls,cost_per_1000_calls,additional_reviews,additional_info_units,incremental_gross_bookings,incremental_revenue,incremental_ebitda,net_incremental_ebitda,revenue_to_program_cost_x,ebitda_to_program_cost_x,ai_cost_share_of_program_cost,payback_months_on_ebitda
Full platform base,Base,3000,156000,103740.0,1109.6248288163672,104849.62482881636,1849374.7146939456,0.6,89591.16984066484,518910.5890211696,3629089.9885997106,409958.60770021175,121074.96140439018,16225.33657557382,3.9099673305415656,1.154748637413479,0.010583011914711242,10.391871972136546
Full platform upside,Optimistic,15000,780000,386100.00000000006,1330.754016102613,387430.7540161027,2217923.3601710214,0.6000000000000001,396715.0410715614,2269140.296330765,22837057.41707187,2579778.482231854,761897.8460296314,374467.09201352875,6.658682759409005,1.96653940899582,0.0034348177120892757,6.1020897649478565
