view,scenario,sensitivity,annual_invites,affected_booking_base_share,weekly_payout,annual_prize_face_value,completed_reviews,additional_reviews,final_entries_per_completion,additional_info_units,expected_value_per_entry,guaranteed_equivalent_reward,bps_from_more_reviews,bps_from_better_reviews,total_uplift_bps,incremental_gross_bookings,incremental_revenue,incremental_ebitda,economic_cost,net_incremental_ebitda
Base optimal targeted program,Moderate-rating targeted,Base,1000000,0.1,650,33800,69743.67443226714,11681.497402762216,2.623316040336409,72641.56349410732,0.18474013691364943,0.2180842940067844,0.7951199779787145,0.6607215157820496,1.4558414937607642,1220970.5855723403,137926.4231188948,40734.444995426195,22477.0,18257.444995426195
Current UI payout ($500/week),Moderate-rating targeted,Base,1000000,0.1,500,26000,68195.24311009946,10133.06608059453,2.5201913704493486,61546.926835708684,0.1512814734835843,0.17156621879198602,0.6897235004267532,0.5598086940118672,1.2495321944386204,1047945.1655098377,118380.68010111488,34961.9108003926,17290.0,17671.9108003926
Base optimal universal program,Universal sweepstakes,Base,1000000,0.1,100,5200,202802.94318664813,2802.943186648132,1.7722093049672676,19409.26299012592,0.01446818581340476,0.011538294086030099,0.0700735796662033,0.0624761684231521,0.1325497480893554,111165.4972300997,12557.76313398553,3708.741951540165,3458.0,250.7419515401648
