Metric,Value
Expedia 2025 gross bookings,"$119,590,000,000.00"
Expedia 2025 revenue,"$14,733,000,000.00"
B2C 2025 gross bookings (derived),"$83,867,000,000.00"
B2C 2025 revenue margin (derived),11.3%
B2C 2025 adjusted EBITDA margin on gross bookings (derived),3.3%
One Key member scale,168M+ members
Member gross bookings multiplier,3.0x
Member gross profit multiplier,2.5x
Member repeat business multiplier,3.0x
