scenario,sensitivity,ai_model,annual_invites,affected_booking_base_share,weekly_payout,annual_prize_face_value,target_invites,baseline_completed_reviews,baseline_info_units,final_completion_rate,completed_reviews,additional_reviews,final_entries_per_completion,additional_info_units,expected_value_per_entry,expected_value_per_completion,guaranteed_equivalent_reward,bps_from_more_reviews,bps_from_better_reviews,total_uplift_bps,incremental_gross_bookings,incremental_revenue,incremental_ebitda,economic_cost,ranking_calls,input_tokens,output_tokens,annual_ai_cost,total_program_cost,net_incremental_ebitda_after_sweepstakes,net_incremental_ebitda,incremental_revenue_after_program_cost,revenue_to_program_cost_x,ebitda_to_program_cost_x,ai_cost_share_of_program_cost,cost_per_ranking_call,cost_per_1000_calls,payback_months_on_ebitda
Moderate-rating targeted,Base,gpt-4o-mini,1000000,0.1,650,33800,351891.98199699953,58062.17702950493,110318.13635605936,0.19819625908061134,69743.67443226714,11681.497402762216,2.623316040336409,72641.56349410732,0.18474013691364943,0.4846317644595209,0.2180842940067844,0.7951199779787145,0.6607215157820496,1.4558414937607642,1220970.5855723403,137926.4231188948,40734.444995426195,22477.0,83692.40931872057,184123300.50118527,37661584.193424255,50.215445591232346,22527.21544559123,18257.444995426195,18207.229549834963,115399.20767330358,6.1226574341609625,1.808232583996451,0.002229101315806874,0.0006000000000000001,0.6000000000000001,6.636314435545839
Moderate-rating targeted,Conservative,gpt-4o-mini,1000000,0.06,0,0,351891.98199699953,58062.17702950493,110318.13635605936,0.165,58062.17702950493,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69674.61243540591,153284147.35789302,31353575.595932662,41.80476746124355,41.80476746124355,0.0,-41.80476746124355,-41.80476746124355,0.0,0.0,1.0,0.0006000000000000001,0.6000000000000001,
Moderate-rating targeted,Optimistic,gpt-4o-mini,1000000,0.14,1500,78000,351891.98199699953,58062.17702950493,110318.13635605936,0.22275091806264832,78384.26204871656,20322.085019211627,3.2042369311604233,140843.6109221946,0.3105568457189714,0.995097714277418,0.5970586285664508,1.936557731442098,1.8788920939586038,3.8154498254007017,4479864.62709633,506066.00304184755,149458.8005605963,38610.0,94061.11445845987,206934451.8086117,42327501.50630694,56.43666867507592,38666.43666867507,110848.80056059631,110792.36389192124,467399.56637317245,13.087991722077353,3.86533679949044,0.0014595776993538451,0.0006000000000000001,0.6,3.10451601567603
