scenario,sensitivity,ai_model,annual_invites,affected_booking_base_share,weekly_payout,annual_prize_face_value,target_invites,baseline_completed_reviews,baseline_info_units,final_completion_rate,completed_reviews,additional_reviews,final_entries_per_completion,additional_info_units,expected_value_per_entry,expected_value_per_completion,guaranteed_equivalent_reward,bps_from_more_reviews,bps_from_better_reviews,total_uplift_bps,incremental_gross_bookings,incremental_revenue,incremental_ebitda,economic_cost,ranking_calls,input_tokens,output_tokens,annual_ai_cost,total_program_cost,net_incremental_ebitda_after_sweepstakes,net_incremental_ebitda,incremental_revenue_after_program_cost,revenue_to_program_cost_x,ebitda_to_program_cost_x,ai_cost_share_of_program_cost,cost_per_ranking_call,cost_per_1000_calls,payback_months_on_ebitda
Moderate-rating targeted,Base,gpt-4o-mini,1000000,0.1,650,33800,351891.98199699953,58062.17702950493,110318.13635605936,0.19819625908061134,69743.67443226714,11681.497402762216,2.623316040336409,72641.56349410732,0.18474013691364943,0.4846317644595209,0.2180842940067844,0.7951199779787145,0.6607215157820496,1.4558414937607642,1220970.5855723403,137926.4231188948,40734.444995426195,22477.0,83692.40931872057,184123300.50118527,37661584.193424255,50.215445591232346,22527.21544559123,18257.444995426195,18207.229549834963,115399.20767330358,6.1226574341609625,1.808232583996451,0.002229101315806874,0.0006000000000000001,0.6000000000000001,6.636314435545839
Universal sweepstakes,Base,gpt-4o-mini,1000000,0.1,100,5200,1000000.0,200000.0,340000.0,0.20280294318664813,202802.94318664813,2802.943186648132,1.7722093049672676,19409.26299012592,0.01446818581340476,0.02564065352451133,0.011538294086030099,0.0700735796662033,0.0624761684231521,0.1325497480893554,111165.4972300997,12557.76313398553,3708.741951540165,3458.0,243363.53182397774,535399770.01275104,109513589.32078998,146.01811909438663,3604.0181190943867,250.7419515401648,104.72383244577804,8953.745014891145,3.484378468424856,1.0290575210737545,0.040515367645010035,0.0006,0.6,11.661155721867502
