program,economic_cost,additional_reviews_vs_social_only,cost_per_additional_review,required_incremental_gross_bookings,required_incremental_revenue,incremental_300_dollar_bookings_needed
Guaranteed $0.50 OKC,18985.482534576357,9743.117736839202,1.9486044454529503,569069.1435765958,64284.653871542665,1896.8971452553194
20 winners / week x $50 OKC,34580.0,8181.959288252074,4.226371554995525,1036497.805575411,117087.53395282343,3454.99268525137
10 winners / week x $100 OKC,34580.0,8181.959288252074,4.226371554995525,1036497.805575411,117087.53395282343,3454.99268525137
Guaranteed $1.00 OKC,40680.40695463803,14581.406818062977,2.789882174074209,1219350.8542046559,137743.45085355276,4064.502847348853
50 winners / week x $50 OKC,86450.0,13890.09305894425,6.223860389785671,2591244.5139385276,292718.8348820586,8637.481713128425
25 winners / week x $100 OKC,86450.0,13890.09305894425,6.223860389785671,2591244.5139385276,292718.8348820586,8637.481713128425
