program,economic_cost,additional_reviews_vs_social_only,cost_per_additional_review
Guaranteed $0.50 OKC,18985.482534576357,9743.117736839202,1.9486044454529503
20 winners / week x $50 OKC,34580.0,8181.959288252074,4.226371554995525
10 winners / week x $100 OKC,34580.0,8181.959288252074,4.226371554995525
Guaranteed $1.00 OKC,40680.40695463803,14581.406818062977,2.789882174074209
50 winners / week x $50 OKC,86450.0,13890.09305894425,6.223860389785671
25 winners / week x $100 OKC,86450.0,13890.09305894425,6.223860389785671
