Metric,Value
OneKeyCash traveler value,$1 OKC = $1 discount
Hotel-like base earn rate,2%
Flight base earn rate,0.2%
One Key member scale,168M+ members
Expedia 2025 total revenue margin,12.3%
Expedia 2025 B2C revenue margin (derived),11.3%
Expedia 2025 B2C adj. EBITDA margin on gross bookings (derived),3.3%
Expedia 2025 direct selling / marketing as % of gross bookings (derived),6.1%
