program,annual_budget
Targeted micro-reward: $0.50 OKC,18985.482534576357
Targeted micro-reward: $1.00 OKC,40680.40695463803
20 winners / week x $50 OKC,52000.0
50 winners / week x $50 OKC,130000.0
10 winners / week x $100 OKC,52000.0
25 winners / week x $100 OKC,130000.0
