scenario,sensitivity,design,annual_prize_face_value,completed_reviews,additional_reviews_vs_social_only,expected_value_per_completion,guaranteed_equivalent_reward,redeemed_face_value,economic_cost,cost_per_additional_review,required_repeat_booking_conversion
Universal reward,Base,20 winners / week x $50 OKC,52000,205418.3620987063,5418.362098706333,0.25314192688876225,0.12657096344438112,49400.0,34580.0,6.382002415131352,0.637645218667883
Universal reward,Base,50 winners / week x $50 OKC,130000,211890.62595427845,11890.625954278483,0.6135240736324563,0.30676203681622816,123500.0,86450.0,7.27043305646105,0.7264110187588979
Universal reward,Base,10 winners / week x $100 OKC,52000,205418.3620987063,5418.362098706333,0.25314192688876225,0.12657096344438112,49400.0,34580.0,6.382002415131352,0.637645218667883
Universal reward,Base,25 winners / week x $100 OKC,130000,211890.62595427845,11890.625954278483,0.6135240736324563,0.30676203681622816,123500.0,86450.0,7.27043305646105,0.7264110187588979
Moderate-rating targeted,Base,20 winners / week x $50 OKC,52000,66244.136317757,8181.959288252074,0.7849751372796024,0.3924875686398012,49400.0,34580.0,4.226371554995525,0.4222696011470214
Moderate-rating targeted,Base,50 winners / week x $50 OKC,130000,71952.27008844918,13890.09305894425,1.806753280198028,0.903376640099014,123500.0,86450.0,6.223860389785671,0.621844769252031
Moderate-rating targeted,Base,10 winners / week x $100 OKC,52000,66244.136317757,8181.959288252074,0.7849751372796024,0.3924875686398012,49400.0,34580.0,4.226371554995525,0.4222696011470214
Moderate-rating targeted,Base,25 winners / week x $100 OKC,130000,71952.27008844918,13890.09305894425,1.806753280198028,0.903376640099014,123500.0,86450.0,6.223860389785671,0.621844769252031
